43.0 -0.4000000059604645 7.0 
23.0 -1.0 24.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
24.0 -1.0 17.0 
